ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622119900887,0,10,21.03128,105.78063,1622119893,2021-05-27 19:51:33,2021-05-27 19:51:40
1622119900887,1,13,21.0313,105.78056,1622119894,2021-05-27 19:51:34,2021-05-27 19:51:40
1622119900887,2,15,21.03131,105.78049,1622119895,2021-05-27 19:51:35,2021-05-27 19:51:40
1622119900887,3,15,21.03131,105.78042,1622119896,2021-05-27 19:51:36,2021-05-27 19:51:40
1622119900887,4,14,21.0313,105.78036,1622119897,2021-05-27 19:51:37,2021-05-27 19:51:40
1622119900887,5,15,21.03131,105.7803,1622119898,2021-05-27 19:51:38,2021-05-27 19:51:40
1622119900887,6,16,21.03132,105.78024,1622119899,2021-05-27 19:51:39,2021-05-27 19:51:40
1622119900887,7,16,21.03132,105.7802,1622119900,2021-05-27 19:51:40,2021-05-27 19:51:40
1622119908872,0,25,21.03137,105.78014,1622119901,2021-05-27 19:51:41,2021-05-27 19:51:48
1622119908872,1,38,21.03141,105.78017,1622119902,2021-05-27 19:51:42,2021-05-27 19:51:48
1622119908872,2,47,21.03146,105.78017,1622119903,2021-05-27 19:51:43,2021-05-27 19:51:48
1622119908872,3,55,21.0315,105.78015,1622119904,2021-05-27 19:51:44,2021-05-27 19:51:48
1622119908872,4,72,21.03154,105.78014,1622119905,2021-05-27 19:51:45,2021-05-27 19:51:48
1622119908872,5,91,21.03159,105.78012,1622119906,2021-05-27 19:51:46,2021-05-27 19:51:48
1622119908872,6,99,21.03164,105.78011,1622119907,2021-05-27 19:51:47,2021-05-27 19:51:48
1622119908872,7,2,21.03169,105.7801,1622119908,2021-05-27 19:51:48,2021-05-27 19:51:48
1622119916868,0,8,21.03175,105.78009,1622119909,2021-05-27 19:51:49,2021-05-27 19:51:56
1622119916868,1,9,21.03181,105.78009,1622119910,2021-05-27 19:51:50,2021-05-27 19:51:56
1622119916868,2,8,21.03188,105.78009,1622119911,2021-05-27 19:51:51,2021-05-27 19:51:56
1622119916868,3,8,21.03194,105.78009,1622119912,2021-05-27 19:51:52,2021-05-27 19:51:56
1622119916868,4,8,21.03202,105.78008,1622119913,2021-05-27 19:51:53,2021-05-27 19:51:56
1622119916868,5,8,21.03209,105.78008,1622119914,2021-05-27 19:51:54,2021-05-27 19:51:56
1622119916868,6,8,21.03217,105.78009,1622119915,2021-05-27 19:51:55,2021-05-27 19:51:56
1622119916868,7,9,21.03225,105.78009,1622119916,2021-05-27 19:51:56,2021-05-27 19:51:56
1622119924887,0,9,21.03233,105.7801,1622119917,2021-05-27 19:51:57,2021-05-27 19:52:04
1622119924887,1,9,21.0324,105.78011,1622119918,2021-05-27 19:51:58,2021-05-27 19:52:04
1622119924887,2,8,21.03248,105.78011,1622119919,2021-05-27 19:51:59,2021-05-27 19:52:04
1622119924887,3,8,21.03256,105.78012,1622119920,2021-05-27 19:52:00,2021-05-27 19:52:04
1622119924887,4,8,21.03264,105.78013,1622119921,2021-05-27 19:52:01,2021-05-27 19:52:04
1622119924887,5,8,21.03272,105.78014,1622119922,2021-05-27 19:52:02,2021-05-27 19:52:04
1622119924887,6,8,21.0328,105.78015,1622119923,2021-05-27 19:52:03,2021-05-27 19:52:04
1622119924887,7,8,21.03289,105.78016,1622119924,2021-05-27 19:52:04,2021-05-27 19:52:04
1622119932878,0,9,21.03297,105.78017,1622119925,2021-05-27 19:52:05,2021-05-27 19:52:12
1622119932878,1,8,21.03305,105.78018,1622119926,2021-05-27 19:52:06,2021-05-27 19:52:12
1622119932878,2,8,21.03313,105.78019,1622119927,2021-05-27 19:52:07,2021-05-27 19:52:12
1622119932878,3,9,21.03322,105.7802,1622119928,2021-05-27 19:52:08,2021-05-27 19:52:12
1622119932878,4,8,21.0333,105.78021,1622119929,2021-05-27 19:52:09,2021-05-27 19:52:12
1622119932878,5,9,21.03339,105.78023,1622119930,2021-05-27 19:52:10,2021-05-27 19:52:12
1622119932878,6,9,21.03348,105.78024,1622119931,2021-05-27 19:52:11,2021-05-27 19:52:12
1622119932878,7,9,21.03357,105.78026,1622119932,2021-05-27 19:52:12,2021-05-27 19:52:12
1622119940899,0,9,21.03365,105.78027,1622119933,2021-05-27 19:52:13,2021-05-27 19:52:20
1622119940899,1,9,21.03374,105.78028,1622119934,2021-05-27 19:52:14,2021-05-27 19:52:20
1622119940899,2,8,21.03383,105.7803,1622119935,2021-05-27 19:52:15,2021-05-27 19:52:20
1622119940899,3,8,21.03392,105.78031,1622119936,2021-05-27 19:52:16,2021-05-27 19:52:20
1622119940899,4,8,21.03401,105.78033,1622119937,2021-05-27 19:52:17,2021-05-27 19:52:20
1622119940899,5,10,21.0341,105.78034,1622119938,2021-05-27 19:52:18,2021-05-27 19:52:20
1622119940899,6,10,21.03418,105.78036,1622119939,2021-05-27 19:52:19,2021-05-27 19:52:20
1622119940899,7,11,21.03427,105.78037,1622119940,2021-05-27 19:52:20,2021-05-27 19:52:20
1622119948946,0,10,21.03436,105.78039,1622119941,2021-05-27 19:52:21,2021-05-27 19:52:28
1622119948946,1,10,21.03445,105.7804,1622119942,2021-05-27 19:52:22,2021-05-27 19:52:28
1622119948946,2,9,21.03453,105.78042,1622119943,2021-05-27 19:52:23,2021-05-27 19:52:28
1622119948946,3,10,21.03462,105.78043,1622119944,2021-05-27 19:52:24,2021-05-27 19:52:28
1622119948946,4,9,21.03471,105.78045,1622119945,2021-05-27 19:52:25,2021-05-27 19:52:28
1622119948946,5,11,21.03479,105.78047,1622119946,2021-05-27 19:52:26,2021-05-27 19:52:28
1622119948946,6,11,21.03488,105.78049,1622119947,2021-05-27 19:52:27,2021-05-27 19:52:28
1622119948946,7,9,21.03497,105.7805,1622119948,2021-05-27 19:52:28,2021-05-27 19:52:28
1622119956907,0,8,21.03505,105.78052,1622119949,2021-05-27 19:52:29,2021-05-27 19:52:36
1622119956907,1,9,21.03514,105.78053,1622119950,2021-05-27 19:52:30,2021-05-27 19:52:36
1622119956907,2,10,21.03523,105.78055,1622119951,2021-05-27 19:52:31,2021-05-27 19:52:36
