ts,heading,height,lat,lng,positionTime,speed,h_positionTime,h_receiveTime
1622120277853,27,4,21.00284,105.78159,1622120276,64,2021-05-27 19:57:56,2021-05-27 19:57:57
1622120286411,16,3,21.00299,105.78009,1622120285,64,2021-05-27 19:58:05,2021-05-27 19:58:06
1622120294824,26,3,21.0032,105.77866,1622120293,75,2021-05-27 19:58:13,2021-05-27 19:58:14
1622120302990,26,3,21.00354,105.77682,1622120302,85,2021-05-27 19:58:22,2021-05-27 19:58:22
1622120311509,27,6,21.00392,105.77501,1622120310,90,2021-05-27 19:58:30,2021-05-27 19:58:31
1622120318910,27,11,21.00433,105.77313,1622120318,92,2021-05-27 19:58:38,2021-05-27 19:58:38
1622120327651,27,8,21.00475,105.77118,1622120326,98,2021-05-27 19:58:46,2021-05-27 19:58:47
1622120335801,27,6,21.00517,105.76914,1622120334,99,2021-05-27 19:58:54,2021-05-27 19:58:55
1622120344321,26,3,21.00563,105.7669,1622120343,98,2021-05-27 19:59:03,2021-05-27 19:59:04
1622120352771,27,2,21.006,105.76512,1622120351,88,2021-05-27 19:59:11,2021-05-27 19:59:12
1622120361311,29,3,21.00632,105.7636,1622120360,74,2021-05-27 19:59:20,2021-05-27 19:59:21
1622120369494,29,6,21.00651,105.76278,1622120368,43,2021-05-27 19:59:28,2021-05-27 19:59:29
1622120376874,27,3,21.00665,105.76204,1622120376,38,2021-05-27 19:59:36,2021-05-27 19:59:36
1622120385385,27,2,21.00681,105.76127,1622120384,41,2021-05-27 19:59:44,2021-05-27 19:59:45
1622120393463,28,1,21.007,105.76035,1622120392,49,2021-05-27 19:59:52,2021-05-27 19:59:53
1622120401847,27,0,21.00722,105.75932,1622120400,52,2021-05-27 20:00:00,2021-05-27 20:00:01
1622120409202,29,0,21.00748,105.75825,1622120408,52,2021-05-27 20:00:08,2021-05-27 20:00:09
1622120417721,30,0,21.00773,105.7572,1622120416,51,2021-05-27 20:00:16,2021-05-27 20:00:17
1622120425261,29,-2,21.00795,105.75621,1622120424,48,2021-05-27 20:00:24,2021-05-27 20:00:25
1622120434886,29,2,21.00819,105.75524,1622120433,44,2021-05-27 20:00:33,2021-05-27 20:00:34
1622120442248,38,1,21.00841,105.7545,1622120441,38,2021-05-27 20:00:41,2021-05-27 20:00:42
1622120450807,37,0,21.00863,105.75395,1622120449,29,2021-05-27 20:00:49,2021-05-27 20:00:50
1622120459685,28,1,21.00889,105.75316,1622120458,45,2021-05-27 20:00:58,2021-05-27 20:00:59
1622120467067,27,1,21.00909,105.75219,1622120466,49,2021-05-27 20:01:06,2021-05-27 20:01:07
1622120475338,27,3,21.00931,105.75117,1622120474,52,2021-05-27 20:01:14,2021-05-27 20:01:15
1622120483787,25,3,21.00952,105.75002,1622120482,58,2021-05-27 20:01:22,2021-05-27 20:01:23
1622120492679,21,2,21.0097,105.74863,1622120491,63,2021-05-27 20:01:31,2021-05-27 20:01:32
1622120500077,17,3,21.00981,105.7473,1622120499,63,2021-05-27 20:01:39,2021-05-27 20:01:40
1622120508118,18,3,21.00989,105.74609,1622120507,58,2021-05-27 20:01:47,2021-05-27 20:01:48
1622120516703,15,3,21.00995,105.74485,1622120515,60,2021-05-27 20:01:55,2021-05-27 20:01:56
1622120524117,18,2,21.01003,105.74353,1622120523,67,2021-05-27 20:02:03,2021-05-27 20:02:04
1622120531918,18,-1,21.01012,105.74204,1622120531,75,2021-05-27 20:02:11,2021-05-27 20:02:11
1622120539962,14,-5,21.01021,105.7404,1622120539,78,2021-05-27 20:02:19,2021-05-27 20:02:19
1622120548526,18,-3,21.01031,105.73877,1622120547,78,2021-05-27 20:02:27,2021-05-27 20:02:28
1622120555938,18,1,21.01042,105.73727,1622120555,73,2021-05-27 20:02:35,2021-05-27 20:02:35
1622120564450,20,3,21.01053,105.73595,1622120563,64,2021-05-27 20:02:43,2021-05-27 20:02:44
1622120572550,20,2,21.01069,105.73466,1622120571,64,2021-05-27 20:02:51,2021-05-27 20:02:52
1622120579969,19,0,21.01083,105.73331,1622120579,65,2021-05-27 20:02:59,2021-05-27 20:02:59
1622120588580,17,0,21.01089,105.73209,1622120587,60,2021-05-27 20:03:07,2021-05-27 20:03:08
1622120596278,20,-2,21.01097,105.73105,1622120595,51,2021-05-27 20:03:15,2021-05-27 20:03:16
1622120605410,22,-2,21.01104,105.73004,1622120604,45,2021-05-27 20:03:24,2021-05-27 20:03:25
1622120612833,16,0,21.0111,105.72931,1622120611,44,2021-05-27 20:03:31,2021-05-27 20:03:32
1622120621266,20,1,21.01115,105.72817,1622120620,49,2021-05-27 20:03:40,2021-05-27 20:03:41
1622120629736,18,3,21.01122,105.72723,1622120628,47,2021-05-27 20:03:48,2021-05-27 20:03:49
1622120637894,17,0,21.01123,105.72639,1622120637,36,2021-05-27 20:03:57,2021-05-27 20:03:57
1622120646467,198,0,21.01119,105.72597,1622120645,32,2021-05-27 20:04:05,2021-05-27 20:04:06
1622120653912,183,3,21.01074,105.72594,1622120653,28,2021-05-27 20:04:13,2021-05-27 20:04:13
1622120662611,130,6,21.0104,105.72597,1622120661,24,2021-05-27 20:04:21,2021-05-27 20:04:22
1622120670061,94,1,21.01033,105.72667,1622120669,42,2021-05-27 20:04:29,2021-05-27 20:04:30
1622120678060,92,3,21.01027,105.72762,1622120677,47,2021-05-27 20:04:37,2021-05-27 20:04:38
1622120686502,95,5,21.0102,105.72863,1622120685,48,2021-05-27 20:04:45,2021-05-27 20:04:46
1622120693936,95,11,21.01013,105.72949,1622120693,42,2021-05-27 20:04:53,2021-05-27 20:04:53
1622120702405,104,11,21.01005,105.73016,1622120701,34,2021-05-27 20:05:01,2021-05-27 20:05:02
1622120710528,161,8,21.0096,105.73065,1622120709,41,2021-05-27 20:05:09,2021-05-27 20:05:10
1622120718016,165,9,21.00877,105.73092,1622120717,45,2021-05-27 20:05:17,2021-05-27 20:05:18
1622120726739,165,8,21.00801,105.73114,1622120725,43,2021-05-27 20:05:25,2021-05-27 20:05:26
1622120734257,164,7,21.0074,105.73134,1622120733,32,2021-05-27 20:05:33,2021-05-27 20:05:34
1622120742709,164,7,21.00681,105.73153,1622120741,30,2021-05-27 20:05:41,2021-05-27 20:05:42
1622120750131,163,8,21.00627,105.7317,1622120749,29,2021-05-27 20:05:49,2021-05-27 20:05:50
1622120758631,169,7,21.00589,105.7318,1622120757,23,2021-05-27 20:05:57,2021-05-27 20:05:58
1622120766101,227,6,21.00553,105.73168,1622120765,27,2021-05-27 20:06:05,2021-05-27 20:06:06
1622120774174,253,8,21.00532,105.73107,1622120773,37,2021-05-27 20:06:13,2021-05-27 20:06:14
1622120782711,0,6,21.00511,105.73027,1622120781,41,2021-05-27 20:06:21,2021-05-27 20:06:22
1622120790427,250,4,21.00487,105.72942,1622120789,44,2021-05-27 20:06:29,2021-05-27 20:06:30
1622120797807,2,4,21.00468,105.72872,1622120796,40,2021-05-27 20:06:36,2021-05-27 20:06:37
1622120807017,0,0,21.00443,105.72762,1622120806,43,2021-05-27 20:06:46,2021-05-27 20:06:47
1622120815456,255,6,21.00419,105.7267,1622120814,47,2021-05-27 20:06:54,2021-05-27 20:06:55
1622120822838,253,8,21.00397,105.72585,1622120821,49,2021-05-27 20:07:01,2021-05-27 20:07:02
1622120831360,1,8,21.00367,105.7247,1622120830,50,2021-05-27 20:07:10,2021-05-27 20:07:11
