entity_id,key,partition,ts,system.todate(ts),long_v
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678439803,2021-06-03,84
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678440159,2021-06-03,236
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678451858,2021-06-03,228
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678465868,2021-06-03,167
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678473910,2021-06-03,47
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678481876,2021-06-03,52
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678489891,2021-06-03,76
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678497895,2021-06-03,98
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678505893,2021-06-03,139
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678513904,2021-06-03,82
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678521909,2021-06-03,89
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678529902,2021-06-03,106
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678537865,2021-06-03,123
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678545927,2021-06-03,102
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678553895,2021-06-03,80
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678561901,2021-06-03,51
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678569884,2021-06-03,32
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678577897,2021-06-03,11
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678585927,2021-06-03,82
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678593919,2021-06-03,24
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678601921,2021-06-03,42
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678609897,2021-06-03,93
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678617900,2021-06-03,85
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678625914,2021-06-03,65
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678634265,2021-06-03,98
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678641875,2021-06-03,56
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678649942,2021-06-03,73
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678657940,2021-06-03,73
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678665914,2021-06-03,74
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678674023,2021-06-03,74
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678681905,2021-06-03,74
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678689886,2021-06-03,74
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678704868,2021-06-03,78
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678719860,2021-06-03,80
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678743405,2021-06-03,72
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678744480,2021-06-03,37
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678746406,2021-06-03,88
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678751872,2021-06-03,89
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678759925,2021-06-03,89
5a8848e0-801d-11eb-8419-03264d3b8aac,publishData.gps[0].heading,1622505600000,1622678767904,2021-06-03,90
